,country,description,designation,points,price,province
289,US,"This 100% Cabernet Sauvignon is so rich and decadent, with milk chocolate, blackberry and new French oak flavors. Made by celebrity winemaker Philippe Melka, it's soft and approacheable on the palate and widely appealing. Your best bet is to drink up now.",Fortune Teller,92,125.0,California
362,US,"As impressive as the woman—a pioneer in the Napa Valley—was herself, this 100% varietal wine from the estate property high atop Diamond Mountain is powerfully elegant, intense yet refined. It begins with a high-toned, graceful entry that's rich in blueberry and chocolate, the oak smooth and integrated, with a suggestion of hand-rolled tobacco. Drink now through 2022.",Jamie,95,200.0,California
370,US,"Mint again, with earth and tobacco; one taster found traces of bell pepper. Coffee and brown sugar further soften a supple, mature mouthfeel. Drink now.",Cherryblock Vineyard,88,160.0,California
475,US,"This 100% Cabernet Sauvignon was grown in the well-known Beckstoffer Georges III Vineyard. It's at a funny stage of development, with primary cherry and blackberry fruit starting to fade, while sage, dill, green olive and dried fruit notes are emerging. The tannins remain robust, while the acidity is just about perfect for Napa Valley. Awkward now, but with a promising future, it should emerge from the doldrums after 2017.",Clone 6,92,130.0,California
537,US,"A 100% varietal wine, this offers upfront structure and gravelly texture, its tannins robust. The medium-bodied ripeness allows plenty of room for dried herb and cedar, accents to the bolder notions of black raspberry jam and coffee.",,91,110.0,California
547,US,"Deep aromas of dried strawberries and blueberries meet with hot bricks, dried meats, purple flowers, a touch of smoke and secondary notes of truffle on the nose of this delicious smelling and tasting wine. The layers of flavor on the palate range from black cherry to milk chocolate, framed by chalky tannins.",Stolpman Vineyard,93,150.0,California
778,US,"The Winderlea is perhaps the most unique in terms of style and flavor among all the 2010 Adelsheim single-vineyard Pinots. Its distinctive minerality accompanies tart cranberry and cherry notes, citrusy acidity with a splash of grapefruit flavor, and a finish that tastes of coffee and tea. Complex and long, this is a wine that will surely spark some heated discussion.",Winderlea Vineyard,92,105.0,Oregon
787,US,"Robust black fruit forms around a dense, leathery core of concentration and richness before allowing room for softer, intertwined tannins to add structure and more depth. Chocolate marks the finish of this big, bold wine.",Rutherford Estate Vineyard,90,125.0,California
810,US,"This wine opens with a confectionary nose, slowly unleashing its thick, concentrated richness of dark cherry and cassis on the palate. Between the layers are grippy tannins and shakes of meaty leather and black pepper. This could stand some time in a decanter or swirling in the glass before enjoying.",,90,125.0,California
859,US,"This is a generous, leathery and tannic wine, full-bodied and made in a juicy, foreboding style. Black pepper, leather and cigar smoke provide a sultry, robust edge to the wine, which should cellar well, through 2020.",,90,150.0,California
1019,US,"Estate bottled, this assemblage of 77% Cabernet Sauvignon, 13% Cabernet Franc and 10% Petit Verdot opens with a flurry of coconut flake and herb, followed by ripe, rich layers of dark berry and black tea. The wine has power yet also possesses an elegance that stands out, finishing with a taste of dark caramel.",Elivette,88,125.0,California
1082,US,"Lighter in color, this wine is aromatic and expressive, with notes of fire pit, blood, black olive tapenade, sea salt, black pepper, cured meat, nori, crushed flowers and umami. The palate brings soft, lithe, focused notes of earth and savory flavors that shimmer on the salty finish. It's all about delicacy but the aroma and flavor expression is compelling. Give it some time in the cellar or decant.",The Tribe Vineyard,94,120.0,Oregon
1211,US,"This blend works in commingling 58% Cabernet Sauvignon, 17% Merlot, 17% Cabernet Franc and 4% each of Malbec and Petit Verdot, all from the producer's vineyard. Caramel sparks a richness against which herbal, woody tannins speak. The body expansive and full, and the finish awash in spicy clove.",Vermejo Deux Chevaux Vineyard,93,115.0,California
1430,US,"Caldwell managed to wrest plenty of blackberry and cherry fruit into this Cabernet Sauvignon-based blend, even though the vintage was a tough one. The wine, aged in 80% new French oak, is elaborate and opulent, but the tannins are strong, giving the palate a lockdown astringency. It should age well though and your window of drinking begins in 2019.",Silver,92,120.0,California
1444,US,"A partnership between the Delicato Family and country musician Zac Brown, this well-made wine shows a wealth of flavor and complexity, from dusty saddle and earth to black cherry and berry. Muscular and dense, it reveals plenty of underlying structure and grace, with a bright sprinkling of spicy pepper on the finish. Drink ideally between 2020 and 2023.",Limited Release,94,120.0,California
1456,US,"From a 22-acre site in the middle of the appellation, this is an impressive wine, softened by the addition of 6% Merlot. It boasts crushed rock, black currant and licorice flavors, with an attractive sanguine note. Pencil shavings, black pepper and cigar accents are present throughout.",Cabernet Bosché,94,150.0,California
1466,US,"A top-of-the-line effort and a departure from the producer's single-vineyard, 100% varietal bottlings, this blends 4% Malbec and 3% Merlot. Spicy with clove scents, it showcases deep cassis and cranberry flavors, with a lift of red fruit and supportive acidity.",Fortis,93,175.0,California
1469,US,"From an estate vineyard, this impressive wine is earthy with tobacco leaf and juicy cherry and cassis notes. Soft, supple and lengthy, it lingers on the palate as a well-integrated, balanced and beautifully crafted expression of the grape.",Three Twins Vineyard,93,110.0,California
1556,US,"The flagship wine from Quilceda Creek offers exotic scents of plum, cassis, loam, coffee and pine sap, a rich and evocative blend. The wine delivers all that is promised and more; it is deep and dense with flavor, polished, focused and persistent. Vanilla, espresso, fine tannins, luscious acids and cascading fruits.",,99,125.0,Washington
1565,US,"An outstanding wine, the best California Cabernet Jean-Charles Boisset has ever produced from any of his properties. It stands out in any tasting of its peers. Made from 100% Cabernet Sauvignon, and aged in 60% new oak, it shows satisfying, complex flavors of blackberries, blueberries, cassis, hazelnut-infused chocolate and spices. Hard to exaggerate its power and grace. Wonderful now and for a good six years, but it's difficult to predict its evolution beyond 2018.",No. 1,97,150.0,California
1574,US,"A huge Cabernet, in the best sense of the word. It wasn't the easiest vintage, as 2007 was, but meticulous winemaking did the job, resulting in this amazingly rich, impressively ripe wine that's drinkable now and will develop for many years. The fruits veer toward blackberries, cherries and cola, and the tannins are soft and refined. One hundred percent new French oak isn't at all heavy, lending nuances of buttered toast and sweet wood tannins. Will easily age for 15 years.",Reserve,96,125.0,California
1688,US,"As soft and smooth as velvet, with superripe flavors of chocolate, blackberry and cherry pie filling, currants, cassis and sweetly toasted oak. A best blend of vineyards available to the winery, this Cab was aged in 100% new French oak. The alcohol level is high, leading to questions of ageability.",Mimbre,90,115.0,California
1863,US,"So soft and sweet, it's like a melted dessert pastry. Explodes in blackberry and cherry pie filling flavors, with the smoky, buttery toast of oak barrels. Defines deliciousness. The tannins are soft enough to drink this 100% Cabernet now, and it is probably best enjoyed over the next six years before it loses freshness.",Few and Far Between Vineyard,94,300.0,California
2690,US,"This is a good example of the high-alcohol style of warmth and deliciousness. While it's not common for Stags Leap wines to have these characteristics, it is incredibly deep in black cherries, milk chocolate and oak, with a spicy finish that goes on for a long time, indicating the power of this Cabernet. Drink over the next six years.",,90,150.0,California
3077,US,"Though it's a huge tannic monster right now, this Bordeaux blend, a first release and new brand name from Steven Kent Winery, is an ode to Steven Kent Mirassou's family's long lineage in California winemaking and the roots of Livermore's history in wine as well. A majority Cabernet (75%), with all the lush cassis and black cherry one would hope for, the wine shows nicely honed herbal notes from its 15% Cab Franc in the middle, with a little touch of spice on the finish coming from 5% Petit Verdot (3% Malbec and 2% Merlot round out the blend). Give this one time and it will surely reward.",,94,125.0,California
3101,US,"Not the best Monte Bello to emerge in recent years. There's a sharpness of acidity that cuts the palate, and it accentuates the fresh fruit, giving it a jammy zing. More troubling is an overripe raisiny flavor. This bottling is, of course, one of the most ageable in California, but the inherent imbalance seems to mitigate against long time in the cellar.",California Monte Bello,88,145.0,California
3362,US,"This is a rich, peppery and generously tannic and full-bodied expression of the grape, both powerful and brimming in grace. Soft and mellow on the midpalate, it builds up ripeness and texture toward the finish, ending with a satisfying bite of graham cracker and chocolate.",Cask 23 Estate,92,260.0,California
3831,US,"Massive fruity extract characterizes this Cabernet. With noble tannins and explosive black currant, cassis and dark chocolate flavors, it defines the modern Napa cult style of soft, delicious complexity. Good to go now, but you're better off holding it for 8–12 years.",Reserve,93,106.0,California
3957,US,"This weirdly named wine is a blend of 95% Cabernet Franc and 5% Merlot. It's a bit soft and melted in texture, like liquid licorice, with flavors of cherries, red currants, mocha, anise and smoky oak, and the finish is dry. Notable for the elegance and purity of its tannin structure.",Will Jarvis' Science Project,90,105.0,California
3965,US,"Made from the winery's little vineyard on Atlas Peak, this 100% Cabernet needs time to come around. It doesn't show the voluptuous approachability of the 2005 or the 2007, which will be released next year. It's fairly acidic and tannic. But there's a luscious core of blackberries and black currants. Try after 2012; it might be a very long-lived wine.",,90,195.0,California
4242,US,"From a highly sought-after vineyard site, this wine is intense in tannin and weight, making the fruit work to express itself. Red berry and cherry are given additional richness by a taste of coconut macaroon, with a mellowed finish.",Beckstoffer Georges III,88,115.0,California
4502,US,"Structured, with years to go to take on added complexity and personality, this wine is also a study in immediate gratification, as it's presently so juicy and easy to enjoy. It comes from an east-facing block, planted to a suitcase clone. Exotic, rich red and black berry and cinnamon form an alliance of balance and mouthwatering seduction. The oak and tannin are fully in sync, while a salty, meaty finish provides additional decadence.",The Traveler,98,155.0,California
4505,US,"Dark, brooding cinnamon and fleshy black plum provide an exciting, complex counterpoint to the rakish earthiness and exotic Asian spice going on in this full-bodied, explosively compelling wine, its minerality lingering. It's young and still tightly coiled, with lingering minerality; let it open to enjoy now, but it would show best after some time, so cellar through 2024.",Golden Mean,97,115.0,California
4507,US,"Youthfully flippant, this block of the Wayfarer Vineyard is sitting largely in sandstone, where the grapes pull remarkably revealing minerality from the soil. Racy and flinty, this medium-bodied, structured and flirty wine dances in a generosity of rich red fruit, raspberry mostly, seasoned in clove and cardamom that's fresh and incredibly seductive. Still, it'll age; drink now through 2024.",Mother Rock,96,115.0,California
4509,US,"Floral in aromas and yet darkly savory in cherry and clove, this full-bodied wine holds layered acidity and balanced oak at its core. It hails from one block of the vineyard and spent time in entirely new French oak. Baked raspberry tart finds a happy companion in the richness of maple and velvety tannin. Drink now through 2024.",Paige's Ridge,96,115.0,California
4603,US,"Quite good and rich in jammy berry, cherry, cassis and oak flavors, but there's a certain obvious appeal that lacks complexity, and it's not what you expect from a wine of this reputation and price. This bottling has been falling off from the glories of the 1990s for some years now. A pity. Hopefully the trend will reverse. Production was 9,008 cases.",Private Reserve,87,115.0,California
4673,US,"The producer's flagship wine, this vintage blends Cabernet Sauvignon, Merlot and Cabernet Franc. Dry tannins provide a leathery texture atop piquant sensibilities of cedar, pencil and chocolate-specked blackberry jam. Structured and full bodied, it'll benefit from further cellaring. Drink now through 2022.",Cambium,91,115.0,California
5013,US,"One of the best Napa Cabernet Francs in memory, this shows lush, concentrated flavors of cherry pie, red currant, mocha, anise and smoky, spicy sandalwood that are wrapped into firm but exceptionally refined tannins. Drink now to experience the youthful beauty.",,94,130.0,California
5014,US,"This is a 100% Cabernet, and its tannins are so strong that it's virtually undrinkable now. It displays class in every way, with an intense concentration of cassis liqueur and blackberry that's especially deep in the middle palate, but it also persists into a long, spicy finish. It would be a pity to open it before 2018, and it has the structure to go the long haul.",Padrone,94,145.0,California
5015,US,"A big, vital wine, mouth-filling and dense, with plenty of weight and volume, and deep flavors of earth, chocolate, blackberry and sweet currant. The cool '09 vintage has resulted in this version of Cask 23 being lighter in alcohol and tighter than others like the 2008. It's not quite as fat or immediately accessible as those vintages, but it is very fine, and should reward at least 10 years in the cellar, although you can certainly drink it now after a few hours in the decanter.",Cask 23 Estate,94,210.0,California
5022,US,"Goldschmidt has held this single-vineyard Cabernet back for more than five years, an expensive proposition. And it needs even more time. Although it's magnificent, the parts haven't yet come together. It's massive in blackberry and cassis liqueur flavors, and the tannins are pure Alexander Valley—soft and herbal—but the oak sticks out like a sore thumb. Put it in the cellar until at least 2018, and it could go far beyond that.",Plus Single Vineyard Selection Vyborny Vineyard,94,150.0,California
5025,US,"Another great Hillside Select from selected blocks in Shafer's vineyard. It's a perfect illustration of the “iron fist in a velvet glove” description of Stags Leap Cabernet, with perhaps more emphasis this year on the velvet than the iron. With smooth tannins and luxurious, oak-influenced blackberry and black cherry jam flavors, it's delicious now and will provide plenty of pleasure over the next 8–10 years.",Hillside Select,94,230.0,California
5028,US,"Lush, plush and absolutely delicious, this shows a range of softly approachable flavors, including blackberry, cherry, currant, anise, cocoa, mineral, buttery oak and spice. The tannins are thick but finely ground. It's firmly set in the modern cult style and may not be an ager, but it sure impresses now.",,94,130.0,California
5215,US,"Bergfeld is named for the winery's historic owner and the land he originally planted around the winery in 1873. Given to old-world airs, the wine is chalky in black fruit, tobacco and mocha, as well as soft, substantial tannins. Generous in juiciness and structure, it has an herbal quality on the finish.",Bergfeld,92,135.0,California
5216,US,"From a highly sought-after source of Cabernet, this is classically oaky and dusty, a sophisticated take on the grape, dense and soft in waves of black cherry. With medium weight that picks up steam on the milk-chocolate finish, it's an impressive sipper or worthy companion to steak and potatoes.",Morisoli Vineyard,92,125.0,California
5218,US,"Just one barrel was made of this reserve. At first the new oak shines through, then as it opens out the wood becomes less noticeable and a complex array of spice, stem and iron filings comes into play. The fruit is light and textural, showing hints of sassafras and even a whiff of petrol.",Select Whole Cluster,92,150.0,Oregon
5403,US,"The main taste impression of this superripe Cabernet is of chocolate-covered raisins. Then the even riper notes of prunes emerge. The alcohol, which is 15.7% by volume, gives the finish a glyceriney sweetness. It will satisfy die-hard fans of this Napa style, but it's hard to see this clumsy wine developing in the bottle before the fruit crashes.",Reserve,85,125.0,California
5500,US,"Even at more than four years of age, this blend of Cabernet Sauvignon, Merlot and Petit Verdot remains huge in primary cherry, blackberry, cassis and chocolate flavors. The tough, astringent tannins make it essentially undrinkable now. Yet its underling wholesomeness and balance guarantee development through 2021, and possibly longer.",The Discussion,93,125.0,California
6006,US,"Dried herb, graphite and cedar form a cast of characters around a big powerful tannin concentration in this appellation wine. A bitter streak of tobacco plays games with sharper, crunchier aspects of cassis and clove.",Single Vineyard,90,190.0,California
6262,US,"Leonetti's 2010 Reserve includes 52% Cabernet Sauvignon, 30% Merlot, 9% Cabernet Franc and 9% Malbec—a more complex blend than the 2009. It opens with a lovely floral aroma—a bouquet of clover and white flowers—then heads for the dark side, with black cherry and cassis. It's a big, tannic wine, beautifully crafted, and clearly differentiated from the winery's regular Cabernet bottling.",Reserve,95,140.0,Washington
6270,US,"This is a barrel selection, presumably limited in cases. It's an extraordinarily rich, concentrated 100% Cabernet Sauvignon, made in the modern cult-style of massively extracted blackberries, black currants, cassis liqueur and chocolate, with oak bringing the usual sweet toast and vanilla complexities. This deserves its high score for sheer opulence and great Napa structure. Delicious now, and could easily age for at least 10 years.",Limited,94,150.0,California
6271,US,"Capture continues to make progress in interpreting their vineyard located in this new appellation, a high elevation overlooking Alexander Valley. Based on Cabernet Sauvignon, this Bordeaux-style blend is young now, with hard tannins that interfere with the fruit. The fruit is intensely concentrated with cherry compote and cassis flavors, while new oak's vanilla and toast are proportionate to the wine's volume. A worthy followup to the 2009, and a wine to cellar for 8–10 years, if not longer.",Harmonie,94,120.0,California
6284,US,"What a great follow-up to the 2009 vintage. You can put this in the cellar with entire confidence that it will age for likely 10–20 years, and actually improve. At nearly three years of age, it's rich and vibrant with black currants, blueberries and dark chocolate, and a big hit of sweet oak. But the tannins are impossible, locking the mouth down with astringency. It's a pity that most of the 2l,064 bottles produced will probably be opened too young.",Révélation,94,140.0,California
6431,US,"This Dr. Crane vineyard has really rocked in recent vintages. Enormously rich and deep, with a fabulous compaction of black currant, dark chocolate, baking spice and cedar flavors. There's an interesting grilled meatiness, like the charred fat on a great steak, and lots of new oak, but it's perfectly integrated. The smoky, toasty barrel notes are perfect companions to the fruit's power. Drink this 100% Cab now and over the next 12–15 years.",Beckstoffer Dr. Crane Vineyard,95,145.0,California
6432,US,"An outstanding Cabernet that shows its pedigreed origin in every respect. The aroma is profound with black currants, flavors deep and concentrated, and tannins as smooth and complex as Napa can produce. So beautiful now, it's hard to resist drinking it, but this lovely wine should improve for a decade, slowly developing in the bottle.",Beckstoffer To Kalon Vineyard,95,165.0,California
6680,US,"For the 2011 vintage, Winemaker Charles Thomas blended Cabernet Sauvignon, Merlot, Cabernet Franc and Petit Verdot from the winery's 280-acre biodynamic and organically farmed estate in the heart of Rutherford. The effect is memorable, the wine pungent in red plum and cherry. Light, layered and elegantly smooth on the palate, it has a backdrop of black pepper and clove. Cellar through 2025.",,93,145.0,California
6688,US,"From a seven-acre section of the vineyard, this offers plenty of saddle leather and cedar amidst spicy cardamom layers, a soft, juicy core and tingling acidity. The structure and weight suggest the ability to cellar comfortably through 2020.",Red Rock Terrace,93,200.0,California
6729,US,"This Brut-style wine feels extraordinarily refined in the mouth, with a silky, airy texture. The flavors of toffee, butterscotch, orange marmalade and vanilla bean are rich, but balanced with yeasty bitterness and bright acidity. Gorgeous to drink now, anywhere, anytime, with practically anything. Pricey, yes, but worth it for special occasions.",Joy! Rosé,94,160.0,California
6905,US,"This eponymous label of winemaker Nathaniel Rose is one of his many endeavors in the Michigan wine scene. While the name “Left Bank” evokes Bordeaux, this is clearly a New World-style red, boasting bouncy fruit aromas of dark cherry and spiced raspberry, with cola and cough-syrup notes in the background. The medium-bodied palate is supported by grainy tannins, yet there's a good balance of juicy, red fruit and streaks of granite.",Left Bank Abigail's Vineyard Domaine Barrien,87,250.0,Michigan
6927,US,"From a warm vineyard site in a cool year, this Cab intrigues in sage and chewy black cherry, possessed of a powerful, buoyant minerality. Dark chocolate, tobacco and black tea frame the generous ripeness and velvety nature of the wine, which can withstand time in the cellar to commingle more, through 2021.",Beckstoffer Las Piedras Vineyard,93,175.0,California
6934,US,"Juicy in cassis and black cherry before taking on beguiling layers of peppercorn, chicory, tobacco and black tea, this Cab has a lot going on from the get-go, and yet there's no doubt about its ability to take on further nuance and complexity with time. Bittersweet chocolate accents the finish. Enjoy through 2027–2030.",Sleeping Lady Vineyard,93,135.0,California
7097,US,"Marks a welcome return to the magnificence of the 2002, although more recent vintages haven't exactly been slouches. The '05 is amazing, a densely structured, deeply flavored Bordeaux blend that's mainly Cabernet Sauvignon. Shows classic notes of cassis, currants and black cherry liqueur, while 70% new oak adds enticingly rich layers of sweet toast and smoky vanilla. The tannins are pure, classic Napa, very refined and ripe, offering solid structural support with no trace of astringency. Beautiful now, and should slowly develop for many years.",Padrone Proprietary Red Wine,97,110.0,California
7111,US,"This one-barrel bottling is quite intriguing, offering unexpected aromas and flavors. An element of crunched grapeseeds and unfermented wine grapes mixes with licorice, olive and pepper on the nose. A similar sense pervades the palate, along with light coffee and brown tea flavors. It's slightly odd, but also an interesting change of pace.",01-Jan,87,125.0,California
7225,US,"This is very rich in blackberries and currants, bearing lots of oak that adds caramelized toastiness. While the tannins are thick and fine, there's something rustic on the finish in the form of extracted, candied sweetness and heat. Flashy as it is, you're best drinking this wine now.",,87,110.0,California
7515,US,"This big-boy, 100% varietal Cab is reflective of both its vintage and provenance, a celebration of black pepper, blackberry and tar around an intensely full-bodied, bittersweet palate. Tobacco leaf and leather saddle interweave themselves through the wine's middle and end. Drink now through 2020.",Walther River Block,92,150.0,California
7876,US,"One of the appellation's more famous wines, this opens in black licorice and blackberry, alongside a streak of malted chocolate, soft and sinewy, with a tension of acidity that adds age-worthy structure. Dense and interesting now, it'll get better over time, cellaring well through 2027.",Georges de Latour Private Reserve,94,145.0,California
8235,US,"So ripe and lush with fruit, this could only be from California. It assaults the palate with blackberries, cherries and mocha, but with an interesting, earthy green olive note. Oak adds predictable but rich notes of buttered toast. The tannins are soft enough for you to drink this lovely wine now, but you can age it for 6–8 years if you want.",Beckstoffer To Kalon Vineyard,92,135.0,California
8312,US,"This perennial head-turner lives up to its pedigree in this vintage, offering a full-bodied, lush and plush experience characterized by soft layers of dark cherry, blackberry, vanilla and a seasoning of cinnamon. The vines are head-trained within a block planted to many other varieties, 15% of which make their way into this wine.",Ne Cede Malis Estate Grown,92,115.0,California
8402,US,"A 100% varietal wine aged in entirely new French oak, this is a big-bodied, grippy wine. It's slightly syrupy with ripe red fruit and a complexity of dried herb and cedar which makes it a fine representative of the relatively cooler appellation from which it comes.",Estate,92,150.0,California
8863,US,"A wine marking the 50th anniversary of Robert Mondavi Winery's founding, this shows the grandeur of the man, the vineyard and the vintage. Full bodied and robust, it's intense in bark, tar and black licorice, with dottings of coconut. Aromatically inviting, it's dusty and soft, with acres of complexity and structure. Enjoy it in 2023 and beyond.",To Kalon Vineyard 50th Anniversary Reserve,95,155.0,California
8870,US,"This is Robert Mondavi winemaker Genevieve Janssens own micro-project with husband Luc, and she doesn't miss the chance to craft a classic, gorgeous wine. Blending 85% Cabernet Sauvignon from Hendry Ranch and 15% Cabernet Franc from Detert East Vineyard, this wine offers luxurious aromatics and a juicy core of blackberry, black cherry and soft, integrated tannin, a beautiful marriage of sites and vintner.",,95,145.0,California
8876,US,"Sourced largely from the Martin Stelling Vineyard behind the winery in the western shade of Oakville, this wine opens with charred oak and a smoky, meaty character that intrigues. Seamless on the palate in soft, perceptible tannin, it delves into characteristics of cedar and brushy sage as it goes, unveiling a wildness that's hard to contain. Its bright, fresh finish gives it a roundness that's ready to enjoy now.",Estate Bottled,95,155.0,California
8884,US,"Softly layered, this ripe, bold wine shows a wealth of body and complexity. The ripeness will please for its interwoven notions of Dr Pepper, black-cherry jam and black pepper, its tannins leathery and full of bravado.",Reserve,95,150.0,California
8886,US,"This wine is made to highlight the vintage and best vineyards, relying heavily on the producer's top-end site, Sacrashe. A hugely constructed wine, bold and brawny, it also manages to be soft and velvety, allowing for a greater contribution of savory elements than sweet, from leather to black pepper to Mexican chocolate. It pushes the boundaries on decadence in mysterious ways.",Kathryn Hall,95,165.0,California
8899,US,"Hugely delicious, just a joy to drink. So soft and velvety, so rich in blackberry jam, cassis and chocolate flavors, with the tannins so smooth and round. Really wonderful over the next few years, although the softness and high alcohol suggest it's not an ager.",Vintner Select Cuvée,93,130.0,California
8967,US,"Lush, soft and delicious, this has flavors of chocolate, ripe crushed summer blackberries and a hint of dried currants. This richness is augmented by lots of smoky, sweet oak. It could develop in the bottle, but the fruit might fall out before the tannins soften.",,89,125.0,California
8970,US,"Dark gold in color, this decadent wine is robust in toasted chestnut and hazelnut layers which are rich and powerful on the seamless palate. The oak shows prominently on the nose and palate but finds its balance on the finish, allowing the wine to end with polish and reserve.",Estate Grown Cave Fermented Finch Hollow,93,115.0,California
9169,US,"The winery makes this wine from vines planted in 1959 that it now farms organically. In this vintage, they produced a hearty, sizable wine, ripe, soft and intense, in need of time to coax the blackberry and cassis fruit forward. Enjoy through 2025.",Yountville Selection Estate Grown,92,195.0,California
9528,US,"A 100% varietal wine that opens invitingly in wafts of baked bread and follows on the palate with juicy black currant and dried herb, this shows complexity and elegance in equal measure. Firm tannin girds substantial characteristics of black licorice and tobacco, with a succulent finish. Drink now through 2023.",,92,125.0,California
9542,US,"This varietal wine is toasty in caramelized oak and richly interwoven with flavors and aromas of pencil shavings, plum and black currant. Grippy, with a velvety texture, it provides structure and power in equal parts.",Estate Grown Cave Fermented,94,115.0,California
9605,US,"This is 100% Cabernet Sauvignon, although it doesn't say so on the label. The wine is awesome and impeccable in the modern Oakville style of intensely ripe fruit and sweet, soft tannins. The flavors of raspberries, cherries, cocoa and sweet oak are incredibly delicious. It's soft enough to drink now, but will hold for 6–8 years.",Materium,93,150.0,California
9611,US,"Based on Merlot, this Right Bank-style Bordeaux blend has rich, instantly likeable flavors of cherries, currants, cocoa, green olives and violets. New oak plays a prominent role, both in toasty flavors and in wood tannins. The wine feels softly tannic in the mouth, and will be fabulous now with a great steak, but it also will develop over the next 10–12 years.",Illustration,93,125.0,California
9614,US,"The winery is slowly proving itself with yet another expensive Napa Cabernet of unproven provenance but intense deliciousness. The wine shows the hallmarks of finesse and concentration, rich in black currants and cassis liqueur, with a rich jacket of oak. The alcohol is heady, giving the impression of a modern, superbly crafted Napa Valley Cabernet. Drink now–2020.",Amoenus,93,125.0,California
9925,US,"This wine comes alive on the expansive, fleshy palate of black pepper and olive tapenade flavors. It walks a fine line between tenacious structure and high-cheekboned fruit—a mélange of raspberry, cassis and blueberry compote. The aromas are enticing and reminiscent of violets. Though it can be enjoyed now, it will evolve well through 2034.",State Ranch,95,115.0,California
